year,matric ,fsc,et,deduction,merit,Eligibility
2018,23,23,12,0,58.018,0
2018,23,23,12,0,58,0
2018,23,23,12,0,58,0
2018,23,23,12,0,57.945,0
2018,23,23,12,0,57.855,0
2018,23,23,12,0,57.836,0
2018,23,23,12,0,57.8,0
2017,24,24,12,2,59.764,0
2018,23,23,12,0,57.764,0
2018,23,23,12,0,57.673,0
2018,23,23,12,0,57.673,0
2018,23,23,12,0,57.65,0
2018,23,23,12,0,57.636,0
2018,23,23,12,0,57.564,0
2018,23,23,12,0,57.564,0
2018,23,23,11,0,57.255,0
2018,23,23,11,0,57.255,0
2018,23,23,11,0,57.127,0
2018,23,23,11,0,57.091,0
2018,23,23,11,0,57.055,0
2018,23,23,11,0,57.018,0
2018,23,23,11,0,57,0
2018,23,23,11,0,57,0
2018,23,23,11,0,56.964,0
2015,25,25,13,6,62.94,1
2017,24,24,12,2,58.891,0
2018,23,23,11,0,56.881,0
2015,25,25,13,6,62.881,1
2018,23,23,11,0,56.873,0
2018,23,23,11,0,56.818,0
2018,23,23,11,0,56.691,0
2018,23,23,11,0,56.667,0
2018,23,23,11,0,56.618,0
2018,23,23,11,0,56.545,0
2018,23,23,11,0,56.527,0
2018,23,23,11,0,56.491,0
2018,23,23,11,0,56.44,0
2018,23,23,11,0,56.4,0
2018,23,23,11,0,56.364,0
2018,23,23,11,0,56.364,0
2018,23,23,11,0,56.345,0
2017,23,23,12,2,58.294,0
2018,23,23,11,0,56.254,0
2018,22,22,11,0,56.055,0
2018,22,22,11,0,56.018,0
2018,22,22,11,0,55.982,0
2018,22,22,11,0,55.982,0
2018,22,22,11,0,55.964,0
2016,24,24,12,4,59.945,0
2018,22,22,11,0,55.909,0
2018,22,22,11,0,55.873,0
2018,22,22,11,0,55.873,0
2017,23,23,12,2,57.855,0
2018,22,22,11,0,55.745,0
2018,22,22,11,0,55.709,0
2018,22,22,11,0,55.691,0
2018,22,22,11,0,55.582,0
2018,22,22,11,0,55.418,0
2018,22,22,11,0,55.382,0
2018,22,22,11,0,55.309,0
2018,22,22,11,0,55.284,0
2017,23,23,11,2,57.218,0
2018,22,22,11,0,55.2,0
2017,23,23,11,2,57.182,0
2018,22,22,11,0,55.182,0
2018,22,22,11,0,55.073,0
2018,22,22,11,0,55.018,0
2018,22,22,11,0,55.018,0
2018,22,22,11,0,54.982,0
2017,23,23,11,2,56.954,0
2018,22,22,11,0,54.891,0
2018,22,22,11,0,54.873,0
2018,22,22,11,0,54.873,0
2018,22,22,11,0,54.855,0
2018,22,22,11,0,54.836,0
2018,22,22,11,0,54.727,0
2018,22,22,11,0,54.655,0
2018,22,22,11,0,54.624,0
2018,22,22,11,0,54.618,0
2018,22,22,11,0,54.564,0
2018,22,22,11,0,54.509,0
2018,22,22,11,0,54.455,0
2018,22,22,11,0,54.4,0
2018,22,22,11,0,54.327,0
2017,22,22,11,2,56.218,0
2018,22,22,11,0,54.164,0
2018,22,22,11,0,54.109,0
2018,22,22,11,0,54.109,0
2018,22,22,11,0,53.927,0
2018,22,22,11,0,53.855,0
2017,22,22,11,2,55.818,0
2018,22,22,11,0,53.782,0
2018,22,22,11,0,53.764,0
2018,21,21,11,0,53.655,0
2018,21,21,11,0,53.636,0
2018,21,21,11,0,53.636,0
2018,21,21,11,0,53.6,0
2017,22,22,11,2,55.491,0
2017,22,22,11,2,55.436,0
2016,23,23,11,4,57.327,0
2018,21,21,11,0,53.2,0
2018,21,21,11,0,53.182,0
2016,23,23,11,4,57.164,0
2017,21,21,11,0,52.927,0
2018,21,21,11,0,52.782,0
2018,21,21,11,0,52.727,0
2018,21,21,11,0,52.691,0
2018,21,21,11,0,52.636,0
2018,21,21,11,0,52.6,0
2018,21,21,10,0,52.459,0
2018,21,21,10,0,52.4,0
2018,21,21,10,0,52.345,0
2018,21,21,10,0,52.291,0
2018,21,21,10,0,52.273,0
2017,22,22,11,2,54.2,0
2017,22,22,11,2,54.165,0
2017,22,22,11,2,53.964,0
2017,22,22,11,2,53.909,0
2015,23,23,12,6,57.89,0
2018,21,21,10,0,51.873,0
2017,21,21,11,2,53.743,0
2018,21,21,10,0,51.709,0
2017,21,21,11,2,53.527,0
2018,21,21,10,0,51.509,0
2018,21,21,10,0,51.491,0
2018,21,21,10,0,51.473,0
2016,22,22,11,4,55.455,0
2017,21,21,11,2,53.418,0
2018,21,21,10,0,51.4,0
2016,22,22,11,4,55.364,0
2017,21,21,10,0,51.255,0
2017,21,21,11,2,53.036,0
2016,22,22,11,4,54.964,0
2016,22,22,11,4,54.927,0
