University ,Department,Year of passing ,Matric,Fsc ,ET,Deduction,Merit In %age,Eligibility
1,10,2018,26,26,13,0,65.4,1
1,10,2018,26,26,13,0,65.4,1
1,10,2018,26,26,13,0,65.4,1
1,10,2018,26,26,13,0,65.3,1
1,10,2017,27,27,13,2,67.3,1
1,10,2017,27,27,13,2,67.3,1
1,10,2018,26,26,13,0,65.2,1
1,10,2018,26,26,13,0,65.2,1
1,10,2018,26,26,13,0,65.2,1
1,10,2018,26,26,13,0,65,1
1,10,2018,26,26,13,0,64.9,1
1,10,2018,26,26,13,0,64.9,1
1,10,2018,26,26,13,0,64.9,1
1,10,2018,26,26,13,0,64.9,1
1,10,2018,26,26,13,0,64.7,1
1,10,2018,26,26,13,0,64.7,1
1,10,2017,27,27,13,2,66.7,1
1,10,2018,26,26,13,0,64.7,1
1,10,2018,26,26,13,0,64.6,1
1,10,2016,27,27,14,4,68.5,1
1,10,2018,26,26,13,0,64.5,1
1,10,2016,27,27,14,4,68.5,1
1,10,2018,26,26,13,0,64.5,1
1,10,2018,26,26,13,0,64.4,1
1,10,2018,26,26,13,0,64.3,1
1,10,2018,26,26,13,0,64.3,1
1,10,2018,26,26,13,0,64.3,1
1,10,2018,26,26,13,0,64.2,1
1,10,2018,26,26,13,0,64.2,1
1,10,2017,26,26,13,2,66.1,1
1,10,2018,26,26,13,0,64.1,1
1,10,2018,26,26,13,0,64.1,1
1,10,2018,26,26,13,0,64.1,1
1,10,2018,26,26,13,0,64,1
1,10,2013,30,30,15,10,74,1
1,10,2017,26,26,13,2,65.9,1
1,10,2018,26,26,13,0,63.8,1
1,10,2017,26,26,13,2,65.8,1
1,10,2018,25,25,13,0,63.7,1
1,10,2018,25,25,13,0,63.6,1
1,10,2018,25,25,13,0,63.5,1
1,10,2018,25,25,13,0,63.5,1
1,10,2018,25,25,13,0,63.4,1
1,10,2018,25,25,13,0,63.4,1
1,10,2018,25,25,13,0,63.3,1
1,10,2018,25,25,13,0,63.3,1
1,10,2018,25,25,13,0,63.3,1
1,10,2018,25,25,13,0,63.3,1
1,10,2018,25,25,13,0,63.2,1
1,10,2018,25,25,13,0,63.2,1
1,10,2018,25,25,13,0,63.1,1
1,10,2018,25,25,13,0,63.1,1
1,10,2018,25,25,13,0,63.1,1
1,10,2018,25,25,13,0,63.1,1
1,10,2018,25,25,13,0,62.9,1
1,10,2018,25,25,13,0,62.8,1
1,10,2018,25,25,13,0,62.8,1
1,10,2018,25,25,13,0,62.8,1
1,10,2018,25,25,13,0,62.7,1
1,10,2018,25,25,13,0,62.7,1
1,10,2018,25,25,13,0,62.7,1
1,10,2018,25,25,13,0,62.7,1
1,10,2018,25,25,13,0,62.6,1
1,10,2018,25,25,13,0,62.6,1
1,10,2018,25,25,13,0,62.5,1
1,10,2017,26,26,13,2,64.4,1
1,10,2018,25,25,12,0,62.3,1
1,10,2017,26,26,13,2,64.2,1
1,10,2017,26,26,13,2,64.2,1
1,10,2018,25,25,12,0,62.2,1
1,10,2018,25,25,12,0,62.2,1
1,10,2017,26,26,13,2,64.2,1
1,10,2018,25,25,12,0,62.1,1
1,10,2018,25,25,12,0,62.1,1
1,10,2018,25,25,12,0,62.1,1
1,10,2018,25,25,12,0,62.1,1
1,10,2018,25,25,12,0,62.1,1
1,10,2018,25,25,12,0,62,1
1,10,2018,25,25,12,0,62,1
1,10,2017,26,26,13,2,64,1
1,10,2017,26,26,13,2,64,1
1,10,2018,25,25,12,0,61.9,1
1,10,2018,25,25,12,0,61.9,1
1,10,2016,26,26,13,4,65.8,1
1,10,2018,25,25,12,0,61.7,1
1,10,2017,25,25,13,2,63.7,1
1,10,2018,25,25,12,0,61.7,1
1,10,2018,25,25,12,0,61.5,1
1,10,2016,25,25,13,2,63.5,1
1,10,2018,25,25,12,0,61.4,1
1,10,2018,25,25,12,0,61.4,1
1,10,2018,25,25,12,0,61.4,1
1,10,2018,25,25,12,0,61.3,1
1,10,2018,25,25,12,0,61.3,1
1,10,2018,25,25,12,0,61.3,1
1,10,2018,25,25,12,0,61.3,1
1,10,2018,24,24,12,0,61.2,1
1,10,2018,24,24,12,0,61.1,1
1,10,2018,24,24,12,0,61,1
1,10,2018,24,24,12,0,61,1
1,10,2018,24,24,12,0,61,1
1,10,2018,24,24,12,0,61,1
1,10,2018,24,24,12,0,61,1
1,10,2018,24,24,12,0,60.9,1
1,10,2018,24,24,12,0,60.9,1
1,10,2018,24,24,12,0,60.9,1
1,10,2018,24,24,12,0,60.8,1
1,10,2017,25,25,13,2,62.8,1
1,10,2018,24,24,12,0,60.8,1
1,10,2017,25,25,13,2,62.7,1
1,10,2018,24,24,12,0,60.7,1
1,10,2018,24,24,12,0,60.7,1
1,10,2018,24,24,12,0,60.7,1
1,10,2018,24,24,12,0,60.6,1
1,10,2018,24,24,12,0,60.6,1
1,10,2018,24,24,12,0,60.6,1
1,10,2018,24,24,12,0,60.5,1
1,10,2018,24,24,12,0,60.5,1
1,10,2018,24,24,12,0,60.5,1
1,10,2017,25,25,13,2,62.5,1
1,10,2017,25,25,12,2,62.4,1
1,10,2018,24,24,12,0,60.3,1
1,10,2018,24,24,12,0,60.3,1
1,10,2017,25,25,12,2,62.3,1
1,10,2018,24,24,12,0,60.2,1
1,10,2018,24,24,12,0,60.2,1
1,10,2014,27,27,14,8,68.1,1
1,10,2016,26,26,13,4,64.1,1
1,10,2018,24,24,12,0,60.1,1
1,10,2018,24,24,12,0,60.1,1
1,10,2018,24,24,12,0,60,1
1,10,2018,24,24,12,0,60,1
1,10,2018,24,24,12,0,60,0
1,10,2018,24,24,12,0,59.9,0
1,10,2018,24,24,12,0,59.9,0
1,10,2017,25,25,12,2,61.9,1
1,10,2018,24,24,12,0,59.9,0
1,10,2018,24,24,12,0,59.8,0
1,10,2018,24,24,12,0,59.8,0
